(216, '63.95', '63.95', '65.30', '65.30', 'Wed, 29 Oct 2008 20:08:05', '733344.83895072271')
(217, '63.95', '63.95', '65.30', '65.30', 'Wed, 29 Oct 2008 20:08:16', '733344.83907975047')
(218, '63.95', '63.95', '65.30', '65.30', 'Wed, 29 Oct 2008 20:08:25', '733344.83918641706')
(219, '63.95', '63.95', '65.07', '65.07', 'Wed, 29 Oct 2008 20:08:34', '733344.83929308364')
(220, '63.95', '63.95', '65.30', '65.30', 'Wed, 29 Oct 2008 20:08:44', '733344.83939975011')
(221, '63.95', '63.95', '65.30', '65.30', 'Wed, 29 Oct 2008 20:08:53', '733344.83950641693')
(222, '63.95', '63.95', '65.30', '65.30', 'Wed, 29 Oct 2008 20:09:02', '733344.83961303730')
(223, '63.95', '63.95', '65.07', '65.07', 'Wed, 29 Oct 2008 20:09:11', '733344.83971970400')
(224, '63.95', '63.95', '65.30', '65.30', 'Wed, 29 Oct 2008 20:09:20', '733344.83982637047')
(225, '63.95', '63.95', '65.07', '65.07', 'Wed, 29 Oct 2008 20:09:30', '733344.83993303718')
(226, '63.95', '63.95', '65.30', '65.30', 'Wed, 29 Oct 2008 20:09:40', '733344.84005137056')
(227, '63.95', '63.95', '65.07', '65.07', 'Wed, 29 Oct 2008 20:09:49', '733344.84015799116')
(228, '63.95', '63.95', '65.07', '65.07', 'Wed, 29 Oct 2008 20:09:58', '733344.84026465775')
(229, '63.95', '63.95', '65.30', '65.30', 'Wed, 29 Oct 2008 20:10:08', '733344.84037132422')
(230, '63.95', '63.95', '65.07', '65.07', 'Wed, 29 Oct 2008 20:10:17', '733344.84047799092')
(231, '63.95', '63.95', '65.07', '65.07', 'Wed, 29 Oct 2008 20:10:26', '733344.84058465762')
(232, '63.95', '63.95', '65.30', '65.30', 'Wed, 29 Oct 2008 20:10:35', '733344.84069127811')
(233, '63.95', '63.95', '65.07', '65.07', 'Wed, 29 Oct 2008 20:10:44', '733344.84079794481')
(234, '63.95', '63.95', '65.07', '65.07', 'Wed, 29 Oct 2008 20:10:54', '733344.84090461128')
