Log Date and Time Sat, 22 Mar 2008 12:52:38
Ambient Kiln Date Date2Num

(237, '72.27', '72.95', 'Thu, 20 Mar 2008 20:58:32', '733122.36429530673')
(238, '72.27', '72.95', 'Thu, 20 Mar 2008 20:58:35', '733122.36433012399')
(239, '72.27', '72.95', 'Thu, 20 Mar 2008 20:58:38', '733122.36436492857')
(240, '72.27', '72.95', 'Thu, 20 Mar 2008 20:58:41', '733122.36439956049')
(241, '72.27', '72.95', 'Thu, 20 Mar 2008 20:58:44', '733122.36443436495')
(242, '72.27', '72.72', 'Thu, 20 Mar 2008 20:58:47', '733122.36446918186')
(243, '72.27', '72.95', 'Thu, 20 Mar 2008 20:58:50', '733122.36450400203')
(244, '72.27', '72.95', 'Thu, 20 Mar 2008 20:58:53', '733122.36453860777')
(245, '72.27', '72.72', 'Thu, 20 Mar 2008 20:58:56', '733122.36457342433')
(246, '72.27', '72.72', 'Thu, 20 Mar 2008 20:58:59', '733122.36460822972')
(247, '72.27', '72.72', 'Thu, 20 Mar 2008 20:59:02', '733122.36464286107')
(248, '72.27', '72.72', 'Thu, 20 Mar 2008 20:59:05', '733122.36467766680')
(249, '72.27', '72.72', 'Thu, 20 Mar 2008 20:59:08', '733122.36471248290')
(250, '72.27', '72.95', 'Thu, 20 Mar 2008 20:59:11', '733122.36474710284')
(251, '72.27', '72.72', 'Thu, 20 Mar 2008 20:59:14', '733122.36478192010')
(252, '72.27', '72.95', 'Thu, 20 Mar 2008 20:59:17', '733122.36481654015')
(253, '72.27', '72.72', 'Thu, 20 Mar 2008 20:59:20', '733122.36485135672')
(254, '72.27', '72.72', 'Thu, 20 Mar 2008 20:59:23', '733122.36488616222')
(255, '72.27', '72.72', 'Thu, 20 Mar 2008 20:59:26', '733122.36492079380')
(256, '72.27', '72.72', 'Thu, 20 Mar 2008 20:59:29', '733122.36495559919')
(257, '72.27', '72.72', 'Thu, 20 Mar 2008 20:59:32', '733122.36499040388')
(258, '72.27', '72.72', 'Thu, 20 Mar 2008 20:59:35', '733122.36502522102')
(259, '72.27', '72.72', 'Thu, 20 Mar 2008 20:59:38', '733122.36505986203')
(260, '72.27', '72.72', 'Thu, 20 Mar 2008 20:59:41', '733122.36509466660')
(261, '72.27', '72.72', 'Thu, 20 Mar 2008 20:59:44', '733122.36512946314')
(262, '72.27', '72.72', 'Thu, 20 Mar 2008 20:59:47', '733122.36516409460')
(263, '72.27', '72.72', 'Thu, 20 Mar 2008 20:59:50', '733122.36519890162')
(264, '72.27', '72.72', 'Thu, 20 Mar 2008 20:59:53', '733122.36523353169')
(265, '72.27', '72.72', 'Thu, 20 Mar 2008 20:59:56', '733122.36526833638')
(266, '72.27', '72.72', 'Thu, 20 Mar 2008 20:59:59', '733122.36530315352')
(267, '72.27', '72.72', 'Thu, 20 Mar 2008 21:00:02', '733122.36533795833')
(268, '72.27', '72.72', 'Thu, 20 Mar 2008 21:00:05', '733122.36537277547')
(269, '72.27', '72.72', 'Thu, 20 Mar 2008 21:00:08', '733122.36540739529')
(270, '72.27', '72.72', 'Thu, 20 Mar 2008 21:00:11', '733122.36544221267')
(271, '72.27', '72.72', 'Thu, 20 Mar 2008 21:00:14', '733122.36547701736')
(272, '72.27', '72.72', 'Thu, 20 Mar 2008 21:00:17', '733122.36551163846')
(273, '72.27', '72.72', 'Thu, 20 Mar 2008 21:00:20', '733122.36554645444')
(274, '72.27', '72.72', 'Thu, 20 Mar 2008 21:00:23', '733122.36558107543')
(275, '72.27', '72.72', 'Thu, 20 Mar 2008 21:00:26', '733122.36561589595')
(276, '72.27', '72.72', 'Thu, 20 Mar 2008 21:00:29', '733122.36565069621')
(277, '72.27', '72.72', 'Thu, 20 Mar 2008 21:00:32', '733122.36568551802')
(278, '72.27', '72.72', 'Thu, 20 Mar 2008 21:00:35', '733122.36572013353')
(279, '72.27', '72.72', 'Thu, 20 Mar 2008 21:00:38', '733122.36575495359')
(280, '72.27', '72.72', 'Thu, 20 Mar 2008 21:00:41', '733122.36578975955')
(281, '72.27', '72.72', 'Thu, 20 Mar 2008 21:00:44', '733122.36582439044')
(282, '72.27', '72.72', 'Thu, 20 Mar 2008 21:00:47', '733122.36585919745')
(283, '72.27', '72.72', 'Thu, 20 Mar 2008 21:00:50', '733122.36589400820')
(284, '72.27', '72.72', 'Thu, 20 Mar 2008 21:00:53', '733122.36592865456')
(285, '72.27', '72.72', 'Thu, 20 Mar 2008 21:00:56', '733122.36596343888')
(286, '72.27', '72.72', 'Thu, 20 Mar 2008 21:00:59', '733122.36599807104')
(287, '72.27', '72.72', 'Thu, 20 Mar 2008 21:01:02', '733122.36603287456')
(288, '72.27', '72.72', 'Thu, 20 Mar 2008 21:01:05', '733122.36606768728')
(289, '72.27', '72.72', 'Thu, 20 Mar 2008 21:01:08', '733122.36610231141')
(290, '72.27', '72.72', 'Thu, 20 Mar 2008 21:01:11', '733122.36613712925')
(291, '72.27', '72.50', 'Thu, 20 Mar 2008 21:01:14', '733122.36617174954')
(292, '72.27', '72.72', 'Thu, 20 Mar 2008 21:01:17', '733122.36620656867')
(293, '72.27', '72.72', 'Thu, 20 Mar 2008 21:01:20', '733122.36624136555')
(294, '72.27', '72.72', 'Thu, 20 Mar 2008 21:01:23', '733122.36627599876')
(295, '72.27', '72.72', 'Thu, 20 Mar 2008 21:01:26', '733122.36631080462')
(296, '72.27', '72.50', 'Thu, 20 Mar 2008 21:01:29', '733122.36634562677')
(297, '72.27', '72.50', 'Thu, 20 Mar 2008 21:01:32', '733122.36638024508')
(298, '72.27', '72.50', 'Thu, 20 Mar 2008 21:01:35', '733122.36641504592')
(299, '72.27', '72.50', 'Thu, 20 Mar 2008 21:01:38', '733122.36644968181')
(300, '72.27', '72.72', 'Thu, 20 Mar 2008 21:01:41', '733122.36648448848')
(301, '72.27', '72.72', 'Thu, 20 Mar 2008 21:01:44', '733122.36651930318')
(302, '72.27', '72.50', 'Thu, 20 Mar 2008 21:01:47', '733122.36655392405')
(303, '72.27', '72.50', 'Thu, 20 Mar 2008 21:01:50', '733122.36658873968')
(304, '72.27', '72.50', 'Thu, 20 Mar 2008 21:01:53', '733122.36662354693')
(305, '72.27', '72.50', 'Thu, 20 Mar 2008 21:01:56', '733122.36665818468')
(306, '72.27', '72.50', 'Thu, 20 Mar 2008 21:01:59', '733122.36669298308')
