Log Date and Time Fri, 21 Mar 2008 08:29:42
Ambient Kiln Date Date2Num

(203, '72.27', '251.60', 'Thu, 20 Mar 2008 20:56:50', '733121.99371209729')
(204, '72.27', '250.21', 'Thu, 20 Mar 2008 20:56:53', '733121.99374690058')
(205, '72.27', '250.90', 'Thu, 20 Mar 2008 20:56:56', '733121.99378153251')
(206, '72.27', '251.60', 'Thu, 20 Mar 2008 20:56:59', '733121.99381633732')
(207, '72.27', '256.46', 'Thu, 20 Mar 2008 20:57:02', '733121.99385096971')
(208, '72.27', '254.37', 'Thu, 20 Mar 2008 20:57:05', '733121.99388577370')
(209, '72.27', '256.23', 'Thu, 20 Mar 2008 20:57:08', '733121.99392040737')
(210, '72.27', '255.52', 'Thu, 20 Mar 2008 20:57:11', '733121.99395521218')
(211, '72.27', '254.14', 'Thu, 20 Mar 2008 20:57:14', '733121.99399002979')
(212, '72.27', '254.37', 'Thu, 20 Mar 2008 20:57:17', '733121.99402464856')
(213, '72.27', '255.52', 'Thu, 20 Mar 2008 20:57:20', '733121.99405945418')
(214, '72.27', '257.14', 'Thu, 20 Mar 2008 20:57:23', '733121.99409408506')
(215, '72.27', '256.46', 'Thu, 20 Mar 2008 20:57:26', '733121.99412889127')
(216, '72.27', '255.07', 'Thu, 20 Mar 2008 20:57:29', '733121.99416352168')
(217, '72.27', '255.76', 'Thu, 20 Mar 2008 20:57:32', '733121.99419832847')
(218, '72.27', '252.99', 'Thu, 20 Mar 2008 20:57:35', '733121.99423295876')
(219, '72.27', '250.90', 'Thu, 20 Mar 2008 20:57:38', '733121.99426776450')
(220, '72.27', '250.90', 'Thu, 20 Mar 2008 20:57:41', '733121.99430239468')
(221, '72.27', '252.99', 'Thu, 20 Mar 2008 20:57:44', '733121.99433720193')
(222, '72.27', '252.99', 'Thu, 20 Mar 2008 20:57:47', '733121.99437183165')
(223, '72.27', '252.99', 'Thu, 20 Mar 2008 20:57:50', '733121.99440663843')
(224, '72.27', '251.60', 'Thu, 20 Mar 2008 20:57:53', '733121.99444126862')
(225, '72.27', '252.99', 'Thu, 20 Mar 2008 20:57:56', '733121.99447607575')
(226, '72.27', '252.30', 'Thu, 20 Mar 2008 20:57:59', '733121.99451088102')
(227, '72.27', '252.75', 'Thu, 20 Mar 2008 20:58:02', '733121.99454551260')
(228, '72.27', '251.60', 'Thu, 20 Mar 2008 20:58:05', '733121.99458031741')
(229, '72.27', '252.30', 'Thu, 20 Mar 2008 20:58:08', '733121.99461513502')
(230, '72.27', '249.98', 'Thu, 20 Mar 2008 20:58:11', '733121.99464993877')
(231, '72.27', '253.69', 'Thu, 20 Mar 2008 20:58:14', '733121.99468457117')
(232, '72.27', '250.90', 'Thu, 20 Mar 2008 20:58:17', '733121.99471937574')
(233, '72.27', '251.60', 'Thu, 20 Mar 2008 20:58:20', '733121.99475419323')
(234, '72.27', '252.99', 'Thu, 20 Mar 2008 20:58:23', '733121.99478899699')
(235, '72.27', '250.90', 'Thu, 20 Mar 2008 20:58:26', '733121.99482381472')
(236, '72.27', '252.30', 'Thu, 20 Mar 2008 20:58:29', '733121.99485843512')
(237, '72.27', '250.21', 'Thu, 20 Mar 2008 20:58:32', '733121.99489325297')
(238, '72.27', '250.90', 'Thu, 20 Mar 2008 20:58:35', '733121.99492805789')
(239, '72.27', '251.37', 'Thu, 20 Mar 2008 20:58:38', '733121.99496268982')
(240, '72.27', '252.07', 'Thu, 20 Mar 2008 20:58:41', '733121.99499749439')
(241, '72.27', '251.60', 'Thu, 20 Mar 2008 20:58:44', '733121.99503230036')
(242, '72.27', '252.99', 'Thu, 20 Mar 2008 20:58:47', '733121.99506693066')
(243, '72.27', '252.99', 'Thu, 20 Mar 2008 20:58:50', '733121.99510173663')
(244, '72.27', '252.75', 'Thu, 20 Mar 2008 20:58:53', '733121.99513655249')
(245, '72.27', '252.30', 'Thu, 20 Mar 2008 20:58:56', '733121.99517117278')
(246, '72.27', '252.30', 'Thu, 20 Mar 2008 20:58:59', '733121.99520598853')
(247, '72.27', '254.14', 'Thu, 20 Mar 2008 20:59:02', '733121.99524079496')
(248, '72.27', '252.99', 'Thu, 20 Mar 2008 20:59:05', '733121.99527561048')
(249, '72.27', '252.99', 'Thu, 20 Mar 2008 20:59:08', '733121.99531041633')
(250, '72.27', '255.07', 'Thu, 20 Mar 2008 20:59:11', '733121.99534504744')
(251, '72.27', '250.90', 'Thu, 20 Mar 2008 20:59:14', '733121.99537985446')
(252, '72.27', '252.30', 'Thu, 20 Mar 2008 20:59:17', '733121.99541467021')
(253, '72.27', '253.69', 'Thu, 20 Mar 2008 20:59:20', '733121.99544947653')
(254, '72.27', '253.69', 'Thu, 20 Mar 2008 20:59:23', '733121.99548409577')
(255, '72.27', '252.99', 'Thu, 20 Mar 2008 20:59:26', '733121.99551891256')
(256, '72.27', '252.30', 'Thu, 20 Mar 2008 20:59:29', '733121.99555371678')
(257, '72.27', '250.90', 'Thu, 20 Mar 2008 20:59:32', '733121.99558853440')
(258, '72.27', '250.90', 'Thu, 20 Mar 2008 20:59:35', '733121.99562315398')
(259, '72.27', '250.21', 'Thu, 20 Mar 2008 20:59:38', '733121.99565797171')
(260, '72.27', '250.90', 'Thu, 20 Mar 2008 20:59:41', '733121.99569259083')
(261, '72.27', '251.60', 'Thu, 20 Mar 2008 20:59:44', '733121.99572740821')
(262, '72.27', '252.30', 'Thu, 20 Mar 2008 20:59:47', '733121.99576221267')
(263, '72.27', '253.69', 'Thu, 20 Mar 2008 20:59:50', '733121.99579703144')
(264, '72.27', '250.90', 'Thu, 20 Mar 2008 20:59:53', '733121.99583164963')
(265, '72.27', '250.21', 'Thu, 20 Mar 2008 20:59:56', '733121.99586646655')
(266, '72.27', '251.60', 'Thu, 20 Mar 2008 20:59:59', '733121.99590127089')
(267, '72.27', '252.30', 'Thu, 20 Mar 2008 21:00:02', '733121.99593590433')
(268, '72.27', '252.30', 'Thu, 20 Mar 2008 21:00:05', '733121.99597071076')
(269, '72.27', '252.30', 'Thu, 20 Mar 2008 21:00:08', '733121.99600551557')
(270, '72.27', '251.60', 'Thu, 20 Mar 2008 21:00:11', '733121.99604014552')
(271, '72.27', '252.99', 'Thu, 20 Mar 2008 21:00:14', '733121.99607495172')
(272, '72.27', '252.30', 'Thu, 20 Mar 2008 21:00:17', '733121.99610976758')
(273, '72.27', '251.60', 'Thu, 20 Mar 2008 21:00:20', '733121.99614457262')
(274, '72.27', '251.60', 'Thu, 20 Mar 2008 21:00:23', '733121.99617920502')
(275, '72.27', '250.21', 'Thu, 20 Mar 2008 21:00:26', '733121.99621401029')
(276, '72.27', '251.60', 'Thu, 20 Mar 2008 21:00:29', '733121.99624882720')
(277, '72.27', '250.90', 'Thu, 20 Mar 2008 21:00:32', '733121.99628344912')
(278, '72.27', '250.21', 'Thu, 20 Mar 2008 21:00:35', '733121.99631826323')
(279, '72.27', '251.60', 'Thu, 20 Mar 2008 21:00:38', '733121.99635306909')
(280, '72.27', '250.21', 'Thu, 20 Mar 2008 21:00:41', '733121.99638769892')
(281, '72.27', '250.21', 'Thu, 20 Mar 2008 21:00:44', '733121.99642250594')
(282, '72.27', '249.51', 'Thu, 20 Mar 2008 21:00:47', '733121.99645731086')
(283, '72.27', '248.81', 'Thu, 20 Mar 2008 21:00:50', '733121.99649194325')
(284, '72.27', '252.30', 'Thu, 20 Mar 2008 21:00:53', '733121.99652674817')
(285, '72.27', '252.30', 'Thu, 20 Mar 2008 21:00:56', '733121.99656156462')
(286, '72.27', '250.21', 'Thu, 20 Mar 2008 21:00:59', '733121.99659618444')
(287, '72.27', '250.21', 'Thu, 20 Mar 2008 21:01:02', '733121.99663100136')
(288, '72.27', '254.37', 'Thu, 20 Mar 2008 21:01:05', '733121.99666580628')
(289, '72.27', '255.76', 'Thu, 20 Mar 2008 21:01:08', '733121.99670043902')
(290, '72.27', '253.69', 'Thu, 20 Mar 2008 21:01:11', '733121.99673524359')
(291, '72.27', '255.76', 'Thu, 20 Mar 2008 21:01:14', '733121.99677006109')
(292, '72.27', '252.30', 'Thu, 20 Mar 2008 21:01:17', '733121.99680489674')
(293, '72.27', '251.60', 'Thu, 20 Mar 2008 21:01:20', '733121.99683949910')
(294, '72.27', '250.90', 'Thu, 20 Mar 2008 21:01:23', '733121.99687430181')
(295, '72.27', '250.21', 'Thu, 20 Mar 2008 21:01:26', '733121.99690910801')
(296, '72.27', '252.30', 'Thu, 20 Mar 2008 21:01:29', '733121.99694392388')
(297, '72.27', '250.90', 'Thu, 20 Mar 2008 21:01:32', '733121.99697854032')
(298, '72.27', '251.60', 'Thu, 20 Mar 2008 21:01:35', '733121.99701336096')
(299, '72.27', '250.90', 'Thu, 20 Mar 2008 21:01:38', '733121.99704798195')
(300, '72.27', '250.90', 'Thu, 20 Mar 2008 21:01:41', '733121.99708279863')
(301, '72.27', '250.90', 'Thu, 20 Mar 2008 21:01:44', '733121.99711760343')
(302, '72.27', '252.99', 'Thu, 20 Mar 2008 21:01:47', '733121.99715223501')
(303, '72.27', '252.30', 'Thu, 20 Mar 2008 21:01:50', '733121.99718704226')
(304, '72.27', '251.60', 'Thu, 20 Mar 2008 21:01:53', '733121.99722185766')
(305, '72.27', '250.21', 'Thu, 20 Mar 2008 21:01:56', '733121.99725647701')
(306, '72.27', '250.90', 'Thu, 20 Mar 2008 21:01:59', '733121.99729129404')
