Log Date and Time Wed, 19 Mar 2008 09:00:44
Ambient Kiln Date Date2Num

(186, '73.62', '76.10', 'Tue, 18 Mar 2008 16:50:06', '733119.70146965608')
(187, '73.40', '75.88', 'Tue, 18 Mar 2008 16:50:09', '733119.70150426915')
(188, '73.62', '76.10', 'Tue, 18 Mar 2008 16:50:12', '733119.70153907756')
(189, '73.62', '75.42', 'Tue, 18 Mar 2008 16:50:15', '733119.70157387690')
(190, '73.62', '76.10', 'Tue, 18 Mar 2008 16:50:18', '733119.70160868415')
(191, '73.62', '76.10', 'Tue, 18 Mar 2008 16:50:21', '733119.70164348290')
(192, '73.62', '76.10', 'Tue, 18 Mar 2008 16:50:24', '733119.70167810621')
(193, '73.62', '76.10', 'Tue, 18 Mar 2008 16:50:27', '733119.70171290415')
(194, '73.62', '76.10', 'Tue, 18 Mar 2008 16:50:31', '733119.70174771303')
(195, '73.62', '76.10', 'Tue, 18 Mar 2008 16:50:34', '733119.70178251062')
(196, '73.62', '76.78', 'Tue, 18 Mar 2008 16:50:37', '733119.70181731961')
(197, '73.62', '76.10', 'Tue, 18 Mar 2008 16:50:40', '733119.70185193338')
(198, '73.62', '76.10', 'Tue, 18 Mar 2008 16:50:43', '733119.70188674191')
(199, '73.62', '76.78', 'Tue, 18 Mar 2008 16:50:46', '733119.70192153938')
(200, '73.62', '76.10', 'Tue, 18 Mar 2008 16:50:49', '733119.70195633674')
(201, '73.40', '76.57', 'Tue, 18 Mar 2008 16:50:52', '733119.70199114666')
(202, '73.62', '76.10', 'Tue, 18 Mar 2008 16:50:55', '733119.70202594378')
(203, '73.40', '75.88', 'Tue, 18 Mar 2008 16:50:58', '733119.70206075290')
(204, '73.40', '75.88', 'Tue, 18 Mar 2008 16:51:01', '733119.70209538960')
(205, '73.62', '76.10', 'Tue, 18 Mar 2008 16:51:04', '733119.70213017566')
(206, '73.62', '76.10', 'Tue, 18 Mar 2008 16:51:07', '733119.70216497162')
(207, '73.40', '75.88', 'Tue, 18 Mar 2008 16:51:10', '733119.70219978131')
(208, '73.62', '76.10', 'Tue, 18 Mar 2008 16:51:13', '733119.70223457890')
(209, '73.62', '76.78', 'Tue, 18 Mar 2008 16:51:16', '733119.70226938894')
(210, '73.62', '76.10', 'Tue, 18 Mar 2008 16:51:19', '733119.70230400027')
(211, '73.40', '75.88', 'Tue, 18 Mar 2008 16:51:22', '733119.70233881031')
(212, '73.62', '76.78', 'Tue, 18 Mar 2008 16:51:25', '733119.70237360732')
(213, '73.62', '76.10', 'Tue, 18 Mar 2008 16:51:28', '733119.70240840502')
(214, '73.62', '76.78', 'Tue, 18 Mar 2008 16:51:31', '733119.70244321425')
(215, '73.62', '76.78', 'Tue, 18 Mar 2008 16:51:34', '733119.70247782755')
(216, '73.62', '76.78', 'Tue, 18 Mar 2008 16:51:37', '733119.70251263608')
(217, '73.62', '76.78', 'Tue, 18 Mar 2008 16:51:40', '733119.70254743390')
(218, '73.40', '75.88', 'Tue, 18 Mar 2008 16:51:43', '733119.70258224232')
(219, '73.40', '76.57', 'Tue, 18 Mar 2008 16:51:46', '733119.70261704025')
(220, '73.62', '76.10', 'Tue, 18 Mar 2008 16:51:49', '733119.70265184972')
(221, '73.62', '76.10', 'Tue, 18 Mar 2008 16:51:52', '733119.70268646243')
(222, '73.62', '76.78', 'Tue, 18 Mar 2008 16:51:55', '733119.70272127108')
(223, '73.62', '76.78', 'Tue, 18 Mar 2008 16:51:58', '733119.70275606890')
(224, '73.40', '76.57', 'Tue, 18 Mar 2008 16:52:01', '733119.70279087836')
(225, '73.40', '75.88', 'Tue, 18 Mar 2008 16:52:04', '733119.70282567618')
(226, '73.62', '76.10', 'Tue, 18 Mar 2008 16:52:07', '733119.70286047237')
(227, '73.62', '76.78', 'Tue, 18 Mar 2008 16:52:10', '733119.70289509778')
(228, '73.62', '77.47', 'Tue, 18 Mar 2008 16:52:13', '733119.70292989549')
(229, '73.62', '76.78', 'Tue, 18 Mar 2008 16:52:16', '733119.70296470472')
(230, '73.62', '76.78', 'Tue, 18 Mar 2008 16:52:19', '733119.70299950102')
(231, '73.62', '76.10', 'Tue, 18 Mar 2008 16:52:22', '733119.70303431107')
(232, '73.62', '76.10', 'Tue, 18 Mar 2008 16:52:25', '733119.70306910726')
(233, '73.62', '76.78', 'Tue, 18 Mar 2008 16:52:28', '733119.70310373267')
(234, '73.62', '76.78', 'Tue, 18 Mar 2008 16:52:31', '733119.70313852956')
(235, '73.62', '76.78', 'Tue, 18 Mar 2008 16:52:34', '733119.70317334041')
(236, '73.62', '76.10', 'Tue, 18 Mar 2008 16:52:37', '733119.70320813637')
(237, '73.62', '76.78', 'Tue, 18 Mar 2008 16:52:40', '733119.70324294642')
(238, '73.62', '76.78', 'Tue, 18 Mar 2008 16:52:43', '733119.70327755797')
(239, '73.62', '76.78', 'Tue, 18 Mar 2008 16:52:46', '733119.70331235672')
(240, '73.62', '76.78', 'Tue, 18 Mar 2008 16:52:49', '733119.70334716467')
(241, '73.62', '76.78', 'Tue, 18 Mar 2008 16:52:52', '733119.70338196342')
(242, '73.62', '76.78', 'Tue, 18 Mar 2008 16:52:55', '733119.70341677114')
(243, '73.62', '76.78', 'Tue, 18 Mar 2008 16:52:58', '733119.70345156989')
(244, '73.62', '76.78', 'Tue, 18 Mar 2008 16:53:01', '733119.70348619320')
(245, '73.62', '76.78', 'Tue, 18 Mar 2008 16:53:04', '733119.70352099126')
(246, '73.62', '76.78', 'Tue, 18 Mar 2008 16:53:07', '733119.70355579990')
(247, '73.62', '76.78', 'Tue, 18 Mar 2008 16:53:10', '733119.70359059761')
(248, '73.62', '76.78', 'Tue, 18 Mar 2008 16:53:13', '733119.70362540730')
(249, '73.62', '77.47', 'Tue, 18 Mar 2008 16:53:16', '733119.70366020571')
(250, '73.62', '76.78', 'Tue, 18 Mar 2008 16:53:19', '733119.70369501354')
(251, '73.62', '76.78', 'Tue, 18 Mar 2008 16:53:22', '733119.70372962835')
(252, '73.40', '76.57', 'Tue, 18 Mar 2008 16:53:25', '733119.70376443618')
(253, '73.62', '76.78', 'Tue, 18 Mar 2008 16:53:28', '733119.70379923470')
(254, '73.62', '76.78', 'Tue, 18 Mar 2008 16:53:31', '733119.70383403089')
(255, '73.62', '77.47', 'Tue, 18 Mar 2008 16:53:34', '733119.70386884129')
(256, '73.62', '76.78', 'Tue, 18 Mar 2008 16:53:37', '733119.70390363701')
(257, '73.62', '76.78', 'Tue, 18 Mar 2008 16:53:40', '733119.70393863251')
(258, '73.62', '76.78', 'Tue, 18 Mar 2008 16:53:43', '733119.70397343021')
(259, '73.62', '76.78', 'Tue, 18 Mar 2008 16:53:46', '733119.70400823955')
(260, '73.62', '76.78', 'Tue, 18 Mar 2008 16:53:49', '733119.70404285088')
(261, '73.62', '77.47', 'Tue, 18 Mar 2008 16:53:52', '733119.70407767151')
(262, '73.62', '76.78', 'Tue, 18 Mar 2008 16:53:55', '733119.70411245734')
(263, '73.62', '76.78', 'Tue, 18 Mar 2008 16:53:58', '733119.70414727135')
(264, '73.40', '76.57', 'Tue, 18 Mar 2008 16:54:01', '733119.70418206661')
(265, '73.62', '77.47', 'Tue, 18 Mar 2008 16:54:04', '733119.70421706117')
(266, '73.62', '77.47', 'Tue, 18 Mar 2008 16:54:07', '733119.70425148786')
(267, '73.62', '77.47', 'Tue, 18 Mar 2008 16:54:10', '733119.70428628591')
(268, '73.62', '76.78', 'Tue, 18 Mar 2008 16:54:13', '733119.70432109537')
(269, '73.62', '77.47', 'Tue, 18 Mar 2008 16:54:16', '733119.70435589249')
(270, '73.62', '76.78', 'Tue, 18 Mar 2008 16:54:19', '733119.70439070032')
(271, '73.40', '76.57', 'Tue, 18 Mar 2008 16:54:22', '733119.70442554844')
(272, '73.62', '76.78', 'Tue, 18 Mar 2008 16:54:25', '733119.70446039538')
(273, '73.62', '76.78', 'Tue, 18 Mar 2008 16:54:28', '733119.70449523744')
(274, '73.62', '77.47', 'Tue, 18 Mar 2008 16:54:31', '733119.70452972979')
(275, '73.62', '76.78', 'Tue, 18 Mar 2008 16:54:34', '733119.70456452970')
(276, '73.40', '76.57', 'Tue, 18 Mar 2008 16:54:37', '733119.70459933742')
(277, '73.62', '76.78', 'Tue, 18 Mar 2008 16:54:40', '733119.70463394967')
(278, '73.62', '76.78', 'Tue, 18 Mar 2008 16:54:43', '733119.70466875832')
