Log Date and Time Mon, 03 Nov 2008 20:30:30
Ambient Kiln Date Date2Num

(186, '64.40', '183.20', 'Mon, 03 Nov 2008 13:39:50', '733349.56933404319')
(187, '64.40', '183.90', 'Mon, 03 Nov 2008 13:39:53', '733349.56936885836')
(188, '64.40', '183.90', 'Mon, 03 Nov 2008 13:39:56', '733349.56940348039')
(189, '64.40', '183.90', 'Mon, 03 Nov 2008 13:39:59', '733349.56943829742')
(190, '64.40', '184.59', 'Mon, 03 Nov 2008 13:40:02', '733349.56947291899')
(191, '64.40', '184.59', 'Mon, 03 Nov 2008 13:40:05', '733349.56950773636')
(192, '64.40', '185.29', 'Mon, 03 Nov 2008 13:40:08', '733349.56954235816')
(193, '64.40', '184.59', 'Mon, 03 Nov 2008 13:40:11', '733349.56957717577')
(194, '64.40', '185.29', 'Mon, 03 Nov 2008 13:40:14', '733349.56961179723')
(195, '64.40', '185.29', 'Mon, 03 Nov 2008 13:40:17', '733349.56964661484')
(196, '64.40', '185.97', 'Mon, 03 Nov 2008 13:40:20', '733349.56968123652')
(197, '64.40', '185.29', 'Mon, 03 Nov 2008 13:40:23', '733349.56971605401')
(198, '64.40', '185.29', 'Mon, 03 Nov 2008 13:40:26', '733349.56975067558')
(199, '64.40', '185.97', 'Mon, 03 Nov 2008 13:40:29', '733349.56978549319')
(200, '64.40', '185.97', 'Mon, 03 Nov 2008 13:40:32', '733349.56982011464')
(201, '64.40', '186.66', 'Mon, 03 Nov 2008 13:40:35', '733349.56985493249')
(202, '64.40', '187.36', 'Mon, 03 Nov 2008 13:40:38', '733349.56988955347')
(203, '64.40', '186.66', 'Mon, 03 Nov 2008 13:40:41', '733349.56992437143')
(204, '64.40', '187.36', 'Mon, 03 Nov 2008 13:40:44', '733349.56995899265')
(205, '64.40', '186.66', 'Mon, 03 Nov 2008 13:40:47', '733349.56999379862')
(206, '64.40', '188.04', 'Mon, 03 Nov 2008 13:40:50', '733349.57002843160')
(207, '64.40', '188.04', 'Mon, 03 Nov 2008 13:40:53', '733349.57006323757')
(208, '64.40', '187.36', 'Mon, 03 Nov 2008 13:40:56', '733349.57009787089')
(209, '64.40', '188.04', 'Mon, 03 Nov 2008 13:40:59', '733349.57013267674')
(210, '64.40', '188.74', 'Mon, 03 Nov 2008 13:41:02', '733349.57016730984')
(211, '64.40', '188.74', 'Mon, 03 Nov 2008 13:41:05', '733349.57020211581')
(212, '64.40', '189.43', 'Mon, 03 Nov 2008 13:41:08', '733349.57023674913')
(213, '64.40', '188.74', 'Mon, 03 Nov 2008 13:41:11', '733349.57027155499')
(214, '64.40', '189.43', 'Mon, 03 Nov 2008 13:41:14', '733349.57030618819')
(215, '64.40', '188.74', 'Mon, 03 Nov 2008 13:41:17', '733349.57034099428')
