Log Date and Time Thu, 07 Aug 2008 19:15:03
Ambient Kiln Date Date2Num

(133, '85.77', '134.74', 'Wed, 06 Aug 2008 17:31:45', '733260.73039191496')
(134, '85.77', '135.43', 'Wed, 06 Aug 2008 17:31:48', '733260.73042672058')
(135, '85.77', '136.13', 'Wed, 06 Aug 2008 17:31:51', '733260.73046135413')
(136, '85.77', '136.13', 'Wed, 06 Aug 2008 17:31:54', '733260.73049615964')
(137, '85.77', '136.13', 'Wed, 06 Aug 2008 17:31:57', '733260.73053079285')
(138, '85.77', '136.81', 'Wed, 06 Aug 2008 17:32:00', '733260.73056559870')
(139, '85.77', '137.50', 'Wed, 06 Aug 2008 17:32:03', '733260.73060023191')
(140, '85.77', '137.50', 'Wed, 06 Aug 2008 17:32:06', '733260.73063503788')
(141, '85.77', '137.50', 'Wed, 06 Aug 2008 17:32:09', '733260.73066967109')
(142, '85.77', '137.50', 'Wed, 06 Aug 2008 17:32:12', '733260.73070447694')
(143, '85.77', '138.87', 'Wed, 06 Aug 2008 17:32:15', '733260.73073909874')
(144, '85.77', '138.18', 'Wed, 06 Aug 2008 17:32:18', '733260.73077391612')
(145, '85.77', '138.87', 'Wed, 06 Aug 2008 17:32:21', '733260.73080853943')
(146, '85.77', '138.87', 'Wed, 06 Aug 2008 17:32:24', '733260.73084335541')
(147, '85.77', '138.87', 'Wed, 06 Aug 2008 17:32:27', '733260.73087797721')
(148, '85.77', '139.57', 'Wed, 06 Aug 2008 17:32:30', '733260.73091279436')
(149, '85.77', '139.57', 'Wed, 06 Aug 2008 17:32:33', '733260.73094741639')
(150, '85.77', '139.57', 'Wed, 06 Aug 2008 17:32:36', '733260.73098223365')
(151, '85.77', '139.57', 'Wed, 06 Aug 2008 17:32:39', '733260.73101685499')
(152, '85.77', '140.25', 'Wed, 06 Aug 2008 17:32:42', '733260.73105167213')
(153, '85.77', '140.94', 'Wed, 06 Aug 2008 17:32:45', '733260.73108629428')
(154, '85.77', '140.94', 'Wed, 06 Aug 2008 17:32:48', '733260.73112111131')
(155, '85.77', '140.94', 'Wed, 06 Aug 2008 17:32:51', '733260.73115573416')
(156, '85.77', '141.62', 'Wed, 06 Aug 2008 17:32:54', '733260.73119055049')
(157, '85.77', '141.62', 'Wed, 06 Aug 2008 17:32:57', '733260.73122517590')
(158, '85.77', '141.62', 'Wed, 06 Aug 2008 17:33:00', '733260.73125998979')
(159, '85.77', '142.32', 'Wed, 06 Aug 2008 17:33:03', '733260.73129461112')
(160, '85.77', '142.32', 'Wed, 06 Aug 2008 17:33:06', '733260.73132942873')
(161, '85.77', '142.32', 'Wed, 06 Aug 2008 17:33:09', '733260.73136405041')
(162, '85.77', '142.32', 'Wed, 06 Aug 2008 17:33:12', '733260.73139885638')
(163, '85.77', '143.01', 'Wed, 06 Aug 2008 17:33:15', '733260.73143348948')
(164, '85.77', '143.01', 'Wed, 06 Aug 2008 17:33:18', '733260.73146829533')
(165, '85.77', '143.69', 'Wed, 06 Aug 2008 17:33:21', '733260.73150311376')
(166, '85.55', '143.47', 'Wed, 06 Aug 2008 17:33:24', '733260.73153773462')
