Log Date and Time Sun, 30 Oct 2011 21:31:11
Fields:Ambient KilnFront KilnBack Date Date2Num

(135, '55.6', '497.6', '398.9', 'Wed, 26 Oct 2011 23:22:49', '734436.97418916575')
(136, '55.6', '497.6', '398.2', 'Wed, 26 Oct 2011 23:23:19', '734436.97453668911')
(137, '55.9', '498.3', '399.1', 'Wed, 26 Oct 2011 23:23:49', '734436.97488399222')
(138, '55.6', '498.8', '398.9', 'Wed, 26 Oct 2011 23:24:19', '734436.97523152747')
(139, '55.6', '499.0', '399.6', 'Wed, 26 Oct 2011 23:24:50', '734436.97557894641')
(140, '55.6', '499.5', '399.6', 'Wed, 26 Oct 2011 23:25:20', '734436.97592646966')
(141, '55.6', '499.5', '400.3', 'Wed, 26 Oct 2011 23:25:50', '734436.97627377289')
(142, '55.6', '499.5', '399.6', 'Wed, 26 Oct 2011 23:26:20', '734436.97662130778')
(143, '55.6', '497.4', '398.9', 'Wed, 26 Oct 2011 23:26:50', '734436.97696881974')
(144, '55.6', '494.6', '398.2', 'Wed, 26 Oct 2011 23:27:20', '734436.97731635452')
(145, '55.4', '491.7', '397.3', 'Wed, 26 Oct 2011 23:27:50', '734436.97766380862')
(146, '55.4', '488.4', '395.9', 'Wed, 26 Oct 2011 23:28:20', '734436.97801134305')
(147, '55.4', '484.8', '395.2', 'Wed, 26 Oct 2011 23:28:50', '734436.97835887771')
(148, '55.2', '482.7', '393.5', 'Wed, 26 Oct 2011 23:29:20', '734436.97870638978')
(149, '55.2', '482.7', '393.5', 'Wed, 26 Oct 2011 23:29:50', '734436.97905390104')
(150, '55.4', '483.4', '393.8', 'Wed, 26 Oct 2011 23:30:20', '734436.97940142464')
(151, '55.4', '484.8', '393.8', 'Wed, 26 Oct 2011 23:30:50', '734436.97974888957')
(152, '55.4', '486.8', '394.5', 'Wed, 26 Oct 2011 23:31:20', '734436.98009640176')
(153, '55.4', '488.2', '395.9', 'Wed, 26 Oct 2011 23:31:50', '734436.98044390581')
(154, '55.4', '491.7', '396.6', 'Wed, 26 Oct 2011 23:32:20', '734436.98079145979')
(155, '55.4', '494.4', '398.0', 'Wed, 26 Oct 2011 23:32:50', '734436.98113899480')
(156, '55.4', '497.4', '398.7', 'Wed, 26 Oct 2011 23:33:20', '734436.98148650595')
(157, '55.4', '498.8', '399.4', 'Wed, 26 Oct 2011 23:33:50', '734436.98183401779')
(158, '55.4', '498.8', '400.1', 'Wed, 26 Oct 2011 23:34:20', '734436.98218154116')
(159, '55.4', '497.4', '400.1', 'Wed, 26 Oct 2011 23:34:50', '734436.98252906429')
(160, '55.4', '497.4', '400.1', 'Wed, 26 Oct 2011 23:35:20', '734436.98287659953')
(161, '55.4', '498.8', '400.8', 'Wed, 26 Oct 2011 23:35:50', '734436.98322399531')
(162, '55.4', '501.5', '402.2', 'Wed, 26 Oct 2011 23:36:20', '734436.98357152008')
(163, '55.2', '502.0', '402.7', 'Wed, 26 Oct 2011 23:36:50', '734436.98391907616')
(164, '55.4', '502.0', '403.6', 'Wed, 26 Oct 2011 23:37:20', '734436.98426657822')
(165, '55.4', '501.5', '404.3', 'Wed, 26 Oct 2011 23:37:50', '734436.98461410159')
(166, '55.2', '501.3', '404.1', 'Wed, 26 Oct 2011 23:38:20', '734436.98496161308')
(167, '55.2', '504.3', '404.8', 'Wed, 26 Oct 2011 23:38:50', '734436.98530914763')
(168, '55.2', '508.2', '406.9', 'Wed, 26 Oct 2011 23:39:20', '734436.98565667123')
(169, '55.2', '513.7', '409.0', 'Wed, 26 Oct 2011 23:39:50', '734436.98600417073')
(170, '55.2', '519.9', '411.8', 'Wed, 26 Oct 2011 23:40:20', '734436.98635170574')
(171, '55.2', '524.0', '413.9', 'Wed, 26 Oct 2011 23:40:50', '734436.98669913679')
(172, '55.2', '526.7', '415.3', 'Wed, 26 Oct 2011 23:41:20', '734436.98704663664')
(173, '55.2', '526.5', '416.0', 'Wed, 26 Oct 2011 23:41:50', '734436.98739388213')
(174, '55.2', '525.1', '416.0', 'Wed, 26 Oct 2011 23:42:20', '734436.98774139874')
(175, '55.0', '522.4', '415.1', 'Wed, 26 Oct 2011 23:42:50', '734436.98808893992')
(176, '55.0', '519.0', '414.4', 'Wed, 26 Oct 2011 23:43:20', '734436.98843647481')
(177, '55.0', '514.8', '413.0', 'Wed, 26 Oct 2011 23:43:50', '734436.98878399783')
(178, '55.0', '510.7', '410.9', 'Wed, 26 Oct 2011 23:44:20', '734436.98913152155')
(179, '55.0', '508.4', '410.2', 'Wed, 26 Oct 2011 23:44:50', '734436.98947900988')
(180, '55.0', '507.1', '409.5', 'Wed, 26 Oct 2011 23:45:21', '734436.98982653359')
(181, '55.0', '507.1', '409.5', 'Wed, 26 Oct 2011 23:45:51', '734436.99017405650')
(182, '55.0', '508.4', '410.2', 'Wed, 26 Oct 2011 23:46:21', '734436.99052145239')
