Log Date and Time Thu, 20 Mar 2008 16:41:50
Ambient Kiln Date Date2Num

(218, '71.37', '115.66', 'Thu, 20 Mar 2008 15:59:50', '733121.66829983704')
(219, '71.37', '115.66', 'Thu, 20 Mar 2008 15:59:53', '733121.66833464522')
(220, '71.37', '114.98', 'Thu, 20 Mar 2008 15:59:56', '733121.66836944420')
(221, '71.37', '115.66', 'Thu, 20 Mar 2008 15:59:59', '733121.66840425518')
(222, '71.37', '114.98', 'Thu, 20 Mar 2008 16:00:02', '733121.66843886534')
(223, '71.37', '115.66', 'Thu, 20 Mar 2008 16:00:05', '733121.66847366211')
(224, '71.37', '115.66', 'Thu, 20 Mar 2008 16:00:08', '733121.66850847309')
(225, '71.37', '115.66', 'Thu, 20 Mar 2008 16:00:11', '733121.66854326904')
(226, '71.37', '115.66', 'Thu, 20 Mar 2008 16:00:14', '733121.66857807944')
(227, '71.37', '115.66', 'Thu, 20 Mar 2008 16:00:17', '733121.66861287761')
(228, '71.37', '115.66', 'Thu, 20 Mar 2008 16:00:20', '733121.66864750022')
(229, '71.37', '114.98', 'Thu, 20 Mar 2008 16:00:23', '733121.66868231969')
(230, '71.37', '114.76', 'Thu, 20 Mar 2008 16:00:26', '733121.66871710797')
(231, '71.37', '114.76', 'Thu, 20 Mar 2008 16:00:29', '733121.66875190532')
(232, '71.37', '115.66', 'Thu, 20 Mar 2008 16:00:32', '733121.66878671409')
(233, '71.37', '115.66', 'Thu, 20 Mar 2008 16:00:35', '733121.66882132599')
(234, '71.37', '115.66', 'Thu, 20 Mar 2008 16:00:38', '733121.66885619401')
(235, '71.37', '115.66', 'Thu, 20 Mar 2008 16:00:41', '733121.66889093257')
(236, '71.37', '115.66', 'Thu, 20 Mar 2008 16:00:44', '733121.66892573226')
(237, '71.37', '115.66', 'Thu, 20 Mar 2008 16:00:47', '733121.66896053997')
(238, '71.37', '115.66', 'Thu, 20 Mar 2008 16:00:50', '733121.66899533756')
(239, '71.37', '114.98', 'Thu, 20 Mar 2008 16:00:53', '733121.66902996169')
(240, '71.15', '114.98', 'Thu, 20 Mar 2008 16:00:56', '733121.66906494601')
(241, '71.37', '115.66', 'Thu, 20 Mar 2008 16:00:59', '733121.66909956769')
(242, '71.37', '115.66', 'Thu, 20 Mar 2008 16:01:02', '733121.66913436609')
(243, '71.37', '115.66', 'Thu, 20 Mar 2008 16:01:05', '733121.66916917486')
(244, '71.37', '115.66', 'Thu, 20 Mar 2008 16:01:09', '733121.66920397326')
(245, '71.37', '115.66', 'Thu, 20 Mar 2008 16:01:11', '733121.66923859611')
(246, '71.37', '116.35', 'Thu, 20 Mar 2008 16:01:15', '733121.66927339637')
(247, '71.37', '114.98', 'Thu, 20 Mar 2008 16:01:18', '733121.66930820374')
(248, '71.37', '116.35', 'Thu, 20 Mar 2008 16:01:21', '733121.66934300144')
(249, '71.37', '115.66', 'Thu, 20 Mar 2008 16:01:24', '733121.66937782208')
(250, '71.37', '115.66', 'Thu, 20 Mar 2008 16:01:27', '733121.66941284167')
(251, '71.37', '114.98', 'Thu, 20 Mar 2008 16:01:30', '733121.66944721946')
(252, '71.37', '114.98', 'Thu, 20 Mar 2008 16:01:33', '733121.66948202974')
(253, '71.37', '114.98', 'Thu, 20 Mar 2008 16:01:36', '733121.66951682721')
(254, '71.37', '115.66', 'Thu, 20 Mar 2008 16:01:39', '733121.66955163714')
(255, '71.37', '114.98', 'Thu, 20 Mar 2008 16:01:42', '733121.66958643380')
(256, '71.37', '115.66', 'Thu, 20 Mar 2008 16:01:45', '733121.66962105862')
(257, '71.37', '115.66', 'Thu, 20 Mar 2008 16:01:48', '733121.66965585470')
(258, '71.37', '115.66', 'Thu, 20 Mar 2008 16:01:51', '733121.66969066532')
(259, '71.37', '115.66', 'Thu, 20 Mar 2008 16:01:54', '733121.66972554603')
(260, '71.37', '115.66', 'Thu, 20 Mar 2008 16:01:57', '733121.66976026178')
(261, '71.37', '115.45', 'Thu, 20 Mar 2008 16:02:00', '733121.66979506845')
(262, '71.37', '115.66', 'Thu, 20 Mar 2008 16:02:03', '733121.66982968210')
(263, '71.37', '115.66', 'Thu, 20 Mar 2008 16:02:06', '733121.66986449144')
(264, '71.37', '115.66', 'Thu, 20 Mar 2008 16:02:09', '733121.66989928973')
