Log Date and Time Fri, 07 Nov 2008 08:26:51
Ambient Kiln Date Date2Num

(183, '64.40', '104.70', 'Thu, 06 Nov 2008 08:30:34', '733352.35456566466')
(184, '64.40', '104.00', 'Thu, 06 Nov 2008 08:30:37', '733352.35460045293')
(185, '64.40', '104.70', 'Thu, 06 Nov 2008 08:30:40', '733352.35463525378')
(186, '64.40', '105.39', 'Thu, 06 Nov 2008 08:30:43', '733352.35466985707')
(187, '64.40', '106.07', 'Thu, 06 Nov 2008 08:30:46', '733352.35470464674')
(188, '64.40', '106.07', 'Thu, 06 Nov 2008 08:30:49', '733352.35473926144')
(189, '64.40', '106.75', 'Thu, 06 Nov 2008 08:30:52', '733352.35477405158')
(190, '64.40', '107.44', 'Thu, 06 Nov 2008 08:30:55', '733352.35480885080')
(191, '64.40', '107.44', 'Thu, 06 Nov 2008 08:30:58', '733352.35484345525')
(192, '64.40', '108.81', 'Thu, 06 Nov 2008 08:31:01', '733352.35487825563')
(193, '64.40', '108.81', 'Thu, 06 Nov 2008 08:31:04', '733352.35491285950')
(194, '64.40', '108.81', 'Thu, 06 Nov 2008 08:31:07', '733352.35494766012')
(195, '64.40', '110.19', 'Thu, 06 Nov 2008 08:31:10', '733352.35498244886')
(196, '64.40', '110.19', 'Thu, 06 Nov 2008 08:31:13', '733352.35501706426')
(197, '64.40', '110.88', 'Thu, 06 Nov 2008 08:31:16', '733352.35505185334')
(198, '64.40', '111.56', 'Thu, 06 Nov 2008 08:31:19', '733352.35508646874')
(199, '64.40', '111.56', 'Thu, 06 Nov 2008 08:31:22', '733352.35512125771')
(200, '64.40', '112.24', 'Thu, 06 Nov 2008 08:31:25', '733352.35515605786')
(201, '64.40', '112.93', 'Thu, 06 Nov 2008 08:31:28', '733352.35519084684')
(202, '64.40', '113.61', 'Thu, 06 Nov 2008 08:31:31', '733352.35522546212')
(203, '64.40', '114.30', 'Thu, 06 Nov 2008 08:31:34', '733352.35526025190')
(204, '64.40', '114.30', 'Thu, 06 Nov 2008 08:31:37', '733352.35529505159')
(205, '64.40', '115.68', 'Thu, 06 Nov 2008 08:31:40', '733352.35532965627')
(206, '64.40', '115.68', 'Thu, 06 Nov 2008 08:31:43', '733352.35536444432')
(207, '64.40', '117.05', 'Thu, 06 Nov 2008 08:31:46', '733352.35539906018')
(208, '64.40', '117.05', 'Thu, 06 Nov 2008 08:31:49', '733352.35543384904')
(209, '64.40', '116.37', 'Thu, 06 Nov 2008 08:31:52', '733352.35546864988')
(210, '64.40', '117.73', 'Thu, 06 Nov 2008 08:31:55', '733352.35550325352')
(211, '64.40', '117.73', 'Thu, 06 Nov 2008 08:31:58', '733352.35553805390')
(212, '64.62', '118.63', 'Thu, 06 Nov 2008 08:32:01', '733352.35557265766')
(213, '64.62', '119.32', 'Thu, 06 Nov 2008 08:32:04', '733352.35560745804')
(214, '64.62', '119.32', 'Thu, 06 Nov 2008 08:32:07', '733352.35564224725')
(215, '64.40', '119.79', 'Thu, 06 Nov 2008 08:32:10', '733352.35567704774')
(216, '64.40', '119.79', 'Thu, 06 Nov 2008 08:32:13', '733352.35571165150')
(217, '64.40', '121.17', 'Thu, 06 Nov 2008 08:32:16', '733352.35574645258')
(218, '64.40', '121.17', 'Thu, 06 Nov 2008 08:32:19', '733352.35578105564')
(219, '64.40', '121.86', 'Thu, 06 Nov 2008 08:32:22', '733352.35581585707')
(220, '64.40', '122.54', 'Thu, 06 Nov 2008 08:32:25', '733352.35585064522')
(221, '64.40', '122.54', 'Thu, 06 Nov 2008 08:32:28', '733352.35588526085')
(222, '64.62', '123.44', 'Thu, 06 Nov 2008 08:32:31', '733352.35592004936')
(223, '64.40', '122.54', 'Thu, 06 Nov 2008 08:32:34', '733352.35595466534')
(224, '64.40', '123.93', 'Thu, 06 Nov 2008 08:32:37', '733352.35598945385')
(225, '64.62', '124.12', 'Thu, 06 Nov 2008 08:32:40', '733352.35602425470')
(226, '64.40', '125.29', 'Thu, 06 Nov 2008 08:32:43', '733352.35605885857')
(227, '64.40', '124.61', 'Thu, 06 Nov 2008 08:32:46', '733352.35609364742')
(228, '64.40', '125.98', 'Thu, 06 Nov 2008 08:32:49', '733352.35612826294')
(229, '64.40', '125.98', 'Thu, 06 Nov 2008 08:32:52', '733352.35616305214')
(230, '64.40', '125.98', 'Thu, 06 Nov 2008 08:32:55', '733352.35619785206')
(231, '64.40', '127.35', 'Thu, 06 Nov 2008 08:32:58', '733352.35623245663')
(232, '64.40', '126.66', 'Thu, 06 Nov 2008 08:33:01', '733352.35626725655')
(233, '64.40', '128.05', 'Thu, 06 Nov 2008 08:33:04', '733352.35630204552')
(234, '64.40', '128.05', 'Thu, 06 Nov 2008 08:33:07', '733352.35633666092')
(235, '64.40', '129.42', 'Thu, 06 Nov 2008 08:33:10', '733352.35637145024')
(236, '64.40', '128.73', 'Thu, 06 Nov 2008 08:33:13', '733352.35640606494')
(237, '64.40', '129.42', 'Thu, 06 Nov 2008 08:33:16', '733352.35644085438')
(238, '64.40', '130.10', 'Thu, 06 Nov 2008 08:33:19', '733352.35647565452')
(239, '64.40', '130.78', 'Thu, 06 Nov 2008 08:33:22', '733352.35651025909')
(240, '64.40', '131.49', 'Thu, 06 Nov 2008 08:33:25', '733352.35654505889')
(241, '64.40', '132.17', 'Thu, 06 Nov 2008 08:33:28', '733352.35657966312')
(242, '64.40', '132.17', 'Thu, 06 Nov 2008 08:33:31', '733352.35661446373')
(243, '64.40', '133.54', 'Thu, 06 Nov 2008 08:33:34', '733352.35664925259')
(244, '64.40', '133.54', 'Thu, 06 Nov 2008 08:33:37', '733352.35668385646')
(245, '64.40', '134.22', 'Thu, 06 Nov 2008 08:33:40', '733352.35671865696')
(246, '64.40', '134.92', 'Thu, 06 Nov 2008 08:33:43', '733352.35675326071')
(247, '64.40', '134.92', 'Thu, 06 Nov 2008 08:33:46', '733352.35678806109')
(248, '64.40', '135.61', 'Thu, 06 Nov 2008 08:33:49', '733352.35682285018')
