Log Date and Time Fri, 27 Mar 2009 17:36:10
Fields:Ambient KilnFront KilnBack Date Date2Num

(151, '74.1', '72.5', '74.1', 'Fri, 27 Mar 2009 13:04:56', '733493.54509411415')
(152, '73.8', '72.5', '73.8', 'Fri, 27 Mar 2009 13:05:06', '733493.54520980897')
(153, '74.1', '72.5', '74.1', 'Fri, 27 Mar 2009 13:05:16', '733493.54532568820')
(154, '73.8', '72.5', '73.8', 'Fri, 27 Mar 2009 13:05:26', '733493.54544138268')
(155, '73.8', '72.5', '73.8', 'Fri, 27 Mar 2009 13:05:36', '733493.54555707739')
(156, '73.8', '72.5', '73.8', 'Fri, 27 Mar 2009 13:05:46', '733493.54567281832')
(157, '73.8', '72.5', '73.8', 'Fri, 27 Mar 2009 13:05:56', '733493.54578851280')
(158, '74.1', '72.5', '74.1', 'Fri, 27 Mar 2009 13:06:06', '733493.54590439191')
(159, '74.1', '72.5', '74.1', 'Fri, 27 Mar 2009 13:06:16', '733493.54602008639')
(160, '73.8', '72.5', '73.8', 'Fri, 27 Mar 2009 13:06:26', '733493.54613578087')
(161, '73.8', '72.5', '73.8', 'Fri, 27 Mar 2009 13:06:36', '733493.54625152168')
(162, '73.8', '72.5', '73.8', 'Fri, 27 Mar 2009 13:06:46', '733493.54636721627')
(163, '73.8', '72.5', '73.8', 'Fri, 27 Mar 2009 13:06:56', '733493.54648309585')
(164, '74.1', '72.5', '74.1', 'Fri, 27 Mar 2009 13:07:06', '733493.54659879021')
(165, '74.1', '72.5', '74.1', 'Fri, 27 Mar 2009 13:07:16', '733493.54671448458')
(166, '74.1', '72.5', '74.1', 'Fri, 27 Mar 2009 13:07:26', '733493.54683017894')
(167, '74.1', '72.5', '74.1', 'Fri, 27 Mar 2009 13:07:36', '733493.54694592010')
(168, '74.1', '72.5', '74.1', 'Fri, 27 Mar 2009 13:07:46', '733493.54706179968')
(169, '73.8', '72.5', '73.8', 'Fri, 27 Mar 2009 13:07:56', '733493.54717749404')
(170, '74.1', '72.5', '74.1', 'Fri, 27 Mar 2009 13:08:06', '733493.54729318828')
(171, '74.1', '72.5', '74.1', 'Fri, 27 Mar 2009 13:08:16', '733493.54740888264')
(172, '74.1', '72.5', '74.1', 'Fri, 27 Mar 2009 13:08:26', '733493.54752462357')
(173, '74.1', '72.5', '74.1', 'Fri, 27 Mar 2009 13:08:36', '733493.54764050315')
(174, '73.8', '72.5', '73.8', 'Fri, 27 Mar 2009 13:08:46', '733493.54775619751')
(175, '74.1', '72.5', '74.1', 'Fri, 27 Mar 2009 13:08:56', '733493.54787189222')
(176, '74.1', '72.5', '74.1', 'Fri, 27 Mar 2009 13:09:06', '733493.54798758670')
(177, '74.1', '72.5', '74.1', 'Fri, 27 Mar 2009 13:09:16', '733493.54810332751')
(178, '74.1', '72.5', '74.1', 'Fri, 27 Mar 2009 13:09:26', '733493.54821920698')
(179, '74.1', '72.5', '74.1', 'Fri, 27 Mar 2009 13:09:36', '733493.54833490145')
(180, '74.1', '72.5', '74.1', 'Fri, 27 Mar 2009 13:09:46', '733493.54845059570')
(181, '73.8', '72.5', '73.8', 'Fri, 27 Mar 2009 13:09:56', '733493.54856629006')
(182, '74.1', '72.5', '74.1', 'Fri, 27 Mar 2009 13:10:06', '733493.54868216976')
(183, '74.1', '72.5', '74.1', 'Fri, 27 Mar 2009 13:10:16', '733493.54879791068')
(184, '74.1', '72.5', '74.1', 'Fri, 27 Mar 2009 13:10:26', '733493.54891360516')
(185, '74.1', '72.5', '74.1', 'Fri, 27 Mar 2009 13:10:36', '733493.54902929952')
(186, '74.1', '72.5', '74.1', 'Fri, 27 Mar 2009 13:10:46', '733493.54914499389')
(187, '74.1', '72.5', '74.1', 'Fri, 27 Mar 2009 13:10:56', '733493.54926087346')
(188, '74.1', '72.5', '74.1', 'Fri, 27 Mar 2009 13:11:06', '733493.54937661416')
(189, '74.1', '72.5', '74.1', 'Fri, 27 Mar 2009 13:11:16', '733493.54949230875')
(190, '74.1', '72.5', '74.1', 'Fri, 27 Mar 2009 13:11:26', '733493.54960800323')
(191, '74.1', '72.5', '74.1', 'Fri, 27 Mar 2009 13:11:36', '733493.54972369783')
(192, '74.1', '72.5', '74.1', 'Fri, 27 Mar 2009 13:11:46', '733493.54983957740')
(193, '74.1', '72.5', '74.1', 'Fri, 27 Mar 2009 13:11:56', '733493.54995527165')
(194, '74.1', '72.5', '74.1', 'Fri, 27 Mar 2009 13:12:06', '733493.55007101246')
(195, '74.1', '72.5', '74.1', 'Fri, 27 Mar 2009 13:12:16', '733493.55018670682')
(196, '74.1', '72.5', '74.1', 'Fri, 27 Mar 2009 13:12:26', '733493.55030240130')
(197, '74.1', '72.5', '74.1', 'Fri, 27 Mar 2009 13:12:36', '733493.55041828088')
(198, '74.1', '72.5', '74.1', 'Fri, 27 Mar 2009 13:12:46', '733493.55053397547')
(199, '74.1', '72.5', '74.1', 'Fri, 27 Mar 2009 13:12:56', '733493.55064971605')
(200, '74.1', '72.5', '74.1', 'Fri, 27 Mar 2009 13:13:06', '733493.55076540983')
(201, '74.1', '72.5', '74.1', 'Fri, 27 Mar 2009 13:13:16', '733493.55088110489')
(202, '74.1', '72.5', '74.1', 'Fri, 27 Mar 2009 13:13:26', '733493.55099698447')
(203, '74.1', '72.5', '74.1', 'Fri, 27 Mar 2009 13:13:36', '733493.55111267907')
(204, '74.1', '72.7', '74.1', 'Fri, 27 Mar 2009 13:13:46', '733493.55122837354')
(205, '74.1', '72.5', '74.1', 'Fri, 27 Mar 2009 13:13:56', '733493.55134411412')
(206, '74.1', '72.7', '74.1', 'Fri, 27 Mar 2009 13:14:06', '733493.55145980883')
(207, '74.1', '72.5', '74.1', 'Fri, 27 Mar 2009 13:14:16', '733493.55157568841')
(208, '74.1', '72.5', '74.1', 'Fri, 27 Mar 2009 13:14:26', '733493.55169138277')
(209, '74.1', '72.5', '74.1', 'Fri, 27 Mar 2009 13:14:36', '733493.55180707749')
(210, '74.1', '72.5', '74.1', 'Fri, 27 Mar 2009 13:14:46', '733493.55192281771')
(211, '74.1', '72.7', '74.1', 'Fri, 27 Mar 2009 13:14:56', '733493.55203851219')
(212, '74.1', '72.5', '74.1', 'Fri, 27 Mar 2009 13:15:06', '733493.55215439165')
(213, '74.1', '72.5', '74.1', 'Fri, 27 Mar 2009 13:15:16', '733493.55227008648')
(214, '74.1', '72.5', '74.1', 'Fri, 27 Mar 2009 13:15:26', '733493.55238578084')
(215, '74.1', '72.7', '74.1', 'Fri, 27 Mar 2009 13:15:36', '733493.55250152166')
(216, '74.1', '72.5', '74.1', 'Fri, 27 Mar 2009 13:15:46', '733493.55261721602')
(217, '74.1', '72.5', '74.1', 'Fri, 27 Mar 2009 13:15:56', '733493.55273309594')
(218, '74.1', '72.5', '74.1', 'Fri, 27 Mar 2009 13:16:06', '733493.55284879019')
(219, '74.1', '72.5', '74.1', 'Fri, 27 Mar 2009 13:16:16', '733493.55296448467')
(220, '74.1', '72.5', '74.1', 'Fri, 27 Mar 2009 13:16:26', '733493.55308017915')
(221, '74.1', '72.5', '74.1', 'Fri, 27 Mar 2009 13:16:36', '733493.55319591984')
(222, '74.1', '72.7', '74.1', 'Fri, 27 Mar 2009 13:16:46', '733493.55331179930')
(223, '74.1', '72.7', '74.1', 'Fri, 27 Mar 2009 13:16:56', '733493.55342749401')
(224, '74.1', '72.5', '74.1', 'Fri, 27 Mar 2009 13:17:06', '733493.55354318838')
(225, '74.1', '72.7', '74.1', 'Fri, 27 Mar 2009 13:17:16', '733493.55365888285')
(226, '74.1', '72.7', '74.1', 'Fri, 27 Mar 2009 13:17:26', '733493.55377462343')
(227, '74.1', '72.7', '74.1', 'Fri, 27 Mar 2009 13:17:36', '733493.55389050290')
(228, '74.1', '72.5', '74.1', 'Fri, 27 Mar 2009 13:17:46', '733493.55400619737')
(229, '74.1', '72.7', '74.1', 'Fri, 27 Mar 2009 13:17:56', '733493.55412189185')
(230, '74.1', '72.7', '74.1', 'Fri, 27 Mar 2009 13:18:06', '733493.55423758645')
(231, '74.1', '72.7', '74.1', 'Fri, 27 Mar 2009 13:18:16', '733493.55435328174')
(232, '74.1', '72.7', '74.1', 'Fri, 27 Mar 2009 13:18:26', '733493.55446920707')
(233, '74.1', '72.7', '74.1', 'Fri, 27 Mar 2009 13:18:36', '733493.55458490131')
(234, '74.1', '72.7', '74.1', 'Fri, 27 Mar 2009 13:18:46', '733493.55470059568')
(235, '74.1', '72.7', '74.1', 'Fri, 27 Mar 2009 13:18:56', '733493.55481629004')
(236, '74.1', '72.7', '74.1', 'Fri, 27 Mar 2009 13:19:06', '733493.55493216973')
(237, '74.1', '72.7', '74.1', 'Fri, 27 Mar 2009 13:19:16', '733493.55504791031')
(238, '74.1', '72.7', '74.1', 'Fri, 27 Mar 2009 13:19:26', '733493.55516360491')
(239, '74.1', '72.5', '74.1', 'Fri, 27 Mar 2009 13:19:36', '733493.55527929962')
(240, '74.1', '72.7', '74.1', 'Fri, 27 Mar 2009 13:19:46', '733493.55539499386')
(241, '74.1', '72.5', '74.1', 'Fri, 27 Mar 2009 13:19:56', '733493.55551087379')
(242, '74.1', '72.7', '74.1', 'Fri, 27 Mar 2009 13:20:06', '733493.55562656792')
(243, '74.1', '72.7', '74.1', 'Fri, 27 Mar 2009 13:20:16', '733493.55574230873')
(244, '74.1', '72.7', '74.1', 'Fri, 27 Mar 2009 13:20:26', '733493.55585800332')
(245, '74.1', '72.5', '74.1', 'Fri, 27 Mar 2009 13:20:36', '733493.55597369745')
