Log Date and Time Tue, 27 Nov 2012 22:43:26
Fields:Ambient KilnFront KilnBack Date Date2Num

(189, '51.4', '113.3', '116.1', 'Mon, 26 Nov 2012 23:35:03', '734833.98268160922')
(190, '51.4', '112.8', '116.1', 'Mon, 26 Nov 2012 23:35:33', '734833.98302914458')
(191, '51.4', '113.3', '116.1', 'Mon, 26 Nov 2012 23:36:03', '734833.98337665282')
(192, '51.4', '113.3', '116.1', 'Mon, 26 Nov 2012 23:36:33', '734833.98372420250')
(193, '51.4', '113.9', '116.1', 'Mon, 26 Nov 2012 23:37:03', '734833.98407172575')
(194, '51.4', '113.9', '116.1', 'Mon, 26 Nov 2012 23:37:33', '734833.98441924702')
(195, '51.4', '113.5', '116.1', 'Mon, 26 Nov 2012 23:38:03', '734833.98476677202')
(196, '51.4', '113.9', '115.4', 'Mon, 26 Nov 2012 23:38:33', '734833.98511429527')
(197, '51.4', '113.9', '116.1', 'Mon, 26 Nov 2012 23:39:03', '734833.98546180711')
(198, '51.4', '113.9', '116.1', 'Mon, 26 Nov 2012 23:39:33', '734833.98580935353')
(199, '51.4', '113.9', '116.1', 'Mon, 26 Nov 2012 23:40:03', '734833.98615683033')
(200, '51.4', '113.9', '116.1', 'Mon, 26 Nov 2012 23:40:33', '734833.98650430655')
(201, '51.4', '113.9', '116.8', 'Mon, 26 Nov 2012 23:41:03', '734833.98685183038')
(202, '51.4', '114.2', '116.1', 'Mon, 26 Nov 2012 23:41:34', '734833.98719933000')
(203, '51.4', '113.9', '116.8', 'Mon, 26 Nov 2012 23:42:04', '734833.98754685349')
(204, '51.4', '114.6', '116.1', 'Mon, 26 Nov 2012 23:42:34', '734833.98789439967')
(205, '51.4', '114.6', '116.1', 'Mon, 26 Nov 2012 23:43:04', '734833.98824192316')
(206, '51.4', '114.6', '116.8', 'Mon, 26 Nov 2012 23:43:34', '734833.98858944676')
(207, '51.1', '114.6', '115.9', 'Mon, 26 Nov 2012 23:44:04', '734833.98893696978')
(208, '51.1', '114.6', '116.6', 'Mon, 26 Nov 2012 23:44:34', '734833.98928435380')
(209, '51.1', '114.6', '115.9', 'Mon, 26 Nov 2012 23:45:04', '734833.98963190021')
(210, '51.1', '114.6', '115.9', 'Mon, 26 Nov 2012 23:45:34', '734833.98997922684')
(211, '51.1', '114.6', '116.6', 'Mon, 26 Nov 2012 23:46:04', '734833.99032676115')
(212, '51.1', '114.6', '116.6', 'Mon, 26 Nov 2012 23:46:34', '734833.99067429616')
(213, '51.1', '113.7', '116.6', 'Mon, 26 Nov 2012 23:47:04', '734833.99102181930')
(214, '51.1', '114.6', '116.6', 'Mon, 26 Nov 2012 23:47:34', '734833.99136934301')
(215, '51.1', '114.4', '116.6', 'Mon, 26 Nov 2012 23:48:04', '734833.99171687756')
(216, '51.1', '115.3', '116.6', 'Mon, 26 Nov 2012 23:48:34', '734833.99206441233')
(217, '51.1', '114.4', '116.6', 'Mon, 26 Nov 2012 23:49:04', '734833.99241193582')
(218, '50.9', '114.4', '116.4', 'Mon, 26 Nov 2012 23:49:34', '734833.99275948235')
(219, '50.9', '115.1', '116.4', 'Mon, 26 Nov 2012 23:50:04', '734833.99310695904')
(220, '50.9', '115.1', '116.4', 'Mon, 26 Nov 2012 23:50:34', '734833.99345449393')
(221, '50.9', '115.8', '116.4', 'Mon, 26 Nov 2012 23:51:04', '734833.99380201718')
(222, '50.9', '115.1', '116.4', 'Mon, 26 Nov 2012 23:51:34', '734833.99414954043')
(223, '50.9', '114.9', '116.4', 'Mon, 26 Nov 2012 23:52:04', '734833.99449707533')
(224, '50.9', '115.1', '116.4', 'Mon, 26 Nov 2012 23:52:34', '734833.99484461034')
(225, '50.7', '114.9', '116.2', 'Mon, 26 Nov 2012 23:53:04', '734833.99519214523')
(226, '50.7', '115.6', '116.2', 'Mon, 26 Nov 2012 23:53:34', '734833.99553964566')
(227, '50.9', '114.9', '117.1', 'Mon, 26 Nov 2012 23:54:04', '734833.99588716857')
(228, '50.7', '115.6', '116.2', 'Mon, 26 Nov 2012 23:54:34', '734833.99623471464')
(229, '50.7', '115.6', '116.8', 'Mon, 26 Nov 2012 23:55:04', '734833.99658223800')
(230, '50.7', '115.6', '116.8', 'Mon, 26 Nov 2012 23:55:34', '734833.99692977278')
(231, '50.7', '115.3', '116.8', 'Mon, 26 Nov 2012 23:56:04', '734833.99727729510')
(232, '50.5', '115.3', '116.6', 'Mon, 26 Nov 2012 23:56:34', '734833.99762479798')
(233, '50.5', '115.3', '116.6', 'Mon, 26 Nov 2012 23:57:04', '734833.99797232088')
(234, '50.5', '116.0', '117.3', 'Mon, 26 Nov 2012 23:57:34', '734833.99831986742')
(235, '50.5', '115.3', '116.6', 'Mon, 26 Nov 2012 23:58:04', '734833.99866736762')
(236, '50.5', '115.3', '116.6', 'Mon, 26 Nov 2012 23:58:34', '734833.99901492556')
(237, '50.5', '115.3', '117.3', 'Mon, 26 Nov 2012 23:59:04', '734833.99936244823')
(238, '50.5', '115.3', '117.3', 'Mon, 26 Nov 2012 23:59:34', '734833.99970996031')
(239, '50.5', '115.3', '117.3', 'Tue, 27 Nov 2012 00:00:04', '734834.00005721732')
(240, '50.5', '115.3', '117.3', 'Tue, 27 Nov 2012 00:00:34', '734834.00040475233')
(241, '50.5', '115.3', '117.3', 'Tue, 27 Nov 2012 00:01:04', '734834.00075225218')
(242, '50.5', '115.3', '117.3', 'Tue, 27 Nov 2012 00:01:35', '734834.00109978672')
(243, '50.5', '115.3', '117.3', 'Tue, 27 Nov 2012 00:02:05', '734834.00144732150')
(244, '50.5', '115.3', '117.3', 'Tue, 27 Nov 2012 00:02:35', '734834.00179484510')
(245, '50.5', '115.3', '117.3', 'Tue, 27 Nov 2012 00:03:05', '734834.00214235729')
(246, '50.5', '115.3', '117.3', 'Tue, 27 Nov 2012 00:03:35', '734834.00248987973')
(247, '50.5', '115.3', '117.3', 'Tue, 27 Nov 2012 00:04:05', '734834.00283741485')
(248, '50.5', '115.3', '117.3', 'Tue, 27 Nov 2012 00:04:35', '734834.00318494986')
(249, '50.5', '115.3', '117.3', 'Tue, 27 Nov 2012 00:05:05', '734834.00353247265')
(250, '50.7', '116.0', '117.5', 'Tue, 27 Nov 2012 00:05:35', '734834.00387997355')
(251, '50.5', '115.3', '117.3', 'Tue, 27 Nov 2012 00:06:05', '734834.00422750809')
(252, '50.5', '115.3', '118.0', 'Tue, 27 Nov 2012 00:06:35', '734834.00457504287')
(253, '50.7', '116.0', '117.5', 'Tue, 27 Nov 2012 00:07:05', '734834.00492255355')
(254, '50.5', '116.2', '118.0', 'Tue, 27 Nov 2012 00:07:35', '734834.00527006621')
(255, '50.5', '116.2', '117.3', 'Tue, 27 Nov 2012 00:08:05', '734834.00561760110')
(256, '50.5', '115.6', '117.3', 'Tue, 27 Nov 2012 00:08:35', '734834.00596512447')
(257, '50.7', '116.0', '117.5', 'Tue, 27 Nov 2012 00:09:05', '734834.00631267054')
(258, '50.7', '116.2', '117.5', 'Tue, 27 Nov 2012 00:09:35', '734834.00666021730')
(259, '50.7', '116.2', '117.5', 'Tue, 27 Nov 2012 00:10:05', '734834.00700773997')
(260, '50.7', '116.2', '117.5', 'Tue, 27 Nov 2012 00:10:35', '734834.00735524006')
(261, '50.7', '116.9', '118.2', 'Tue, 27 Nov 2012 00:11:05', '734834.00770246179')
(262, '50.5', '116.7', '117.3', 'Tue, 27 Nov 2012 00:11:35', '734834.00805000914')
(263, '50.7', '116.2', '118.2', 'Tue, 27 Nov 2012 00:12:05', '734834.00839753263')
(264, '50.5', '116.0', '117.3', 'Tue, 27 Nov 2012 00:12:35', '734834.00874503248')
(265, '50.5', '116.0', '117.3', 'Tue, 27 Nov 2012 00:13:05', '734834.00909255620')
(266, '50.5', '116.7', '118.0', 'Tue, 27 Nov 2012 00:13:35', '734834.00944009051')
(267, '50.5', '116.7', '118.0', 'Tue, 27 Nov 2012 00:14:05', '734834.00978762528')
(268, '50.5', '116.0', '118.0', 'Tue, 27 Nov 2012 00:14:35', '734834.01013513666')
(269, '50.5', '116.0', '117.3', 'Tue, 27 Nov 2012 00:15:05', '734834.01048266003')
(270, '50.5', '116.7', '117.3', 'Tue, 27 Nov 2012 00:15:35', '734834.01083017257')
(271, '50.5', '116.0', '117.3', 'Tue, 27 Nov 2012 00:16:05', '734834.01117769582')
(272, '50.5', '116.7', '118.0', 'Tue, 27 Nov 2012 00:16:35', '734834.01152524119')
(273, '50.5', '116.0', '118.0', 'Tue, 27 Nov 2012 00:17:05', '734834.01187276491')
(274, '50.5', '116.0', '118.0', 'Tue, 27 Nov 2012 00:17:35', '734834.01222027512')
