Log Date and Time Mon, 19 May 2008 23:23:20
Ambient Kiln Date Date2Num

(146, '78.57', '220.14', 'Mon, 19 May 2008 08:29:27', '733181.35378663044')
(147, '78.57', '220.84', 'Mon, 19 May 2008 08:29:30', '733181.35382124595')
(148, '78.57', '220.84', 'Mon, 19 May 2008 08:29:33', '733181.35385603411')
(149, '78.57', '220.14', 'Mon, 19 May 2008 08:29:36', '733181.35389083577')
(150, '78.57', '220.84', 'Mon, 19 May 2008 08:29:39', '733181.35392543941')
(151, '78.57', '220.84', 'Mon, 19 May 2008 08:29:42', '733181.35396023979')
(152, '78.57', '220.84', 'Mon, 19 May 2008 08:29:45', '733181.35399484320')
(153, '78.57', '220.84', 'Mon, 19 May 2008 08:29:48', '733181.35402964405')
(154, '78.57', '220.84', 'Mon, 19 May 2008 08:29:51', '733181.35406443302')
(155, '78.80', '221.77', 'Mon, 19 May 2008 08:29:54', '733181.35409904912')
(156, '78.57', '221.54', 'Mon, 19 May 2008 08:29:57', '733181.35413383681')
(157, '78.57', '221.54', 'Mon, 19 May 2008 08:30:00', '733181.35416844196')
(158, '78.57', '221.54', 'Mon, 19 May 2008 08:30:03', '733181.35420324130')
(159, '78.57', '220.84', 'Mon, 19 May 2008 08:30:06', '733181.35423803143')
(160, '78.57', '221.54', 'Mon, 19 May 2008 08:30:09', '733181.35427264578')
(161, '78.57', '222.22', 'Mon, 19 May 2008 08:30:12', '733181.35430743522')
(162, '78.80', '221.77', 'Mon, 19 May 2008 08:30:15', '733181.35434223502')
(163, '78.57', '221.54', 'Mon, 19 May 2008 08:30:18', '733181.35437683959')
(164, '78.80', '221.77', 'Mon, 19 May 2008 08:30:21', '733181.35441164020')
(165, '78.57', '222.22', 'Mon, 19 May 2008 08:30:24', '733181.35444624396')
(166, '78.57', '222.93', 'Mon, 19 May 2008 08:30:27', '733181.35448104411')
(167, '78.57', '222.22', 'Mon, 19 May 2008 08:30:30', '733181.35451583331')
(168, '78.80', '223.16', 'Mon, 19 May 2008 08:30:33', '733181.35455044836')
(169, '78.80', '222.46', 'Mon, 19 May 2008 08:30:36', '733181.35458523768')
(170, '78.80', '222.46', 'Mon, 19 May 2008 08:30:39', '733181.35461985297')
